Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
GeByMu		<img src="M-GeByMu-minor-first inversion-keyboard-2.png">	<img src="M-GeByMu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="M-GeByMu-minor-first inversion-keyboard-coloured-2.png">	<img src="M-GeByMu-minor-first inversion-pianoroll-coloured-2.png">	root	MuGiBu	<img src="M-MuGiBu-minor-root-keyboard-coloured-2.png">	second inversion	ByMuGi	<img src="M-ByMuGi-minor-second inversion-keyboard-coloured-2.png">
RoKeMu		<img src="M-RoKeMu-augmented-first inversion-keyboard-2.png">	<img src="M-RoKeMu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="M-RoKeMu-augmented-first inversion-keyboard-coloured-2.png">	<img src="M-RoKeMu-augmented-first inversion-pianoroll-coloured-2.png">	root	MuRaKi	<img src="M-MuRaKi-augmented-root-keyboard-coloured-2.png">	second inversion	KeMuRa	<img src="M-KeMuRa-augmented-second inversion-keyboard-coloured-2.png">
GePyoMu		<img src="M-GePyoMu-diminished-first inversion-keyboard-2.png">	<img src="M-GePyoMu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="M-GePyoMu-diminished-first inversion-keyboard-coloured-2.png">	<img src="M-GePyoMu-diminished-first inversion-pianoroll-coloured-2.png">	root	MuGiPya	<img src="M-MuGiPya-diminished-root-keyboard-coloured-2.png">	second inversion	PyoMuGi	<img src="M-PyoMuGi-diminished-second inversion-keyboard-coloured-2.png">
ByMuRa		<img src="M-ByMuRa-major-second inversion-keyboard-2.png">	<img src="M-ByMuRa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="M-ByMuRa-major-second inversion-keyboard-coloured-2.png">	<img src="M-ByMuRa-major-second inversion-pianoroll-coloured-2.png">	root	MuRaBu	<img src="M-MuRaBu-major-root-keyboard-coloured-2.png">	first inversion	RoByMu	<img src="M-RoByMu-major-first inversion-keyboard-coloured-2.png">
ByMuGi		<img src="M-ByMuGi-minor-second inversion-keyboard-2.png">	<img src="M-ByMuGi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="M-ByMuGi-minor-second inversion-keyboard-coloured-2.png">	<img src="M-ByMuGi-minor-second inversion-pianoroll-coloured-2.png">	root	MuGiBu	<img src="M-MuGiBu-minor-root-keyboard-coloured-2.png">	first inversion	GeByMu	<img src="M-GeByMu-minor-first inversion-keyboard-coloured-2.png">
KeMuRa		<img src="M-KeMuRa-augmented-second inversion-keyboard-2.png">	<img src="M-KeMuRa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="M-KeMuRa-augmented-second inversion-keyboard-coloured-2.png">	<img src="M-KeMuRa-augmented-second inversion-pianoroll-coloured-2.png">	root	MuRaKi	<img src="M-MuRaKi-augmented-root-keyboard-coloured-2.png">	first inversion	RoKeMu	<img src="M-RoKeMu-augmented-first inversion-keyboard-coloured-2.png">
PyoMuGi		<img src="M-PyoMuGi-diminished-second inversion-keyboard-2.png">	<img src="M-PyoMuGi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="M-PyoMuGi-diminished-second inversion-keyboard-coloured-2.png">	<img src="M-PyoMuGi-diminished-second inversion-pianoroll-coloured-2.png">	root	MuGiPya	<img src="M-MuGiPya-diminished-root-keyboard-coloured-2.png">	first inversion	GePyoMu	<img src="M-GePyoMu-diminished-first inversion-keyboard-coloured-2.png">
FuLaKu		<img src="F-FuLaKu-major-root-keyboard-2.png">	<img src="F-FuLaKu-major-root-pianoroll-2.png">	major root	<img src="F-FuLaKu-major-root-keyboard-coloured-2.png">	<img src="F-FuLaKu-major-root-pianoroll-coloured-2.png">	first inversion	LoKyFu	<img src="F-LoKyFu-major-first inversion-keyboard-coloured-2.png">	second inversion	KyFuLa	<img src="F-KyFuLa-major-second inversion-keyboard-coloured-2.png">
FuRiKu		<img src="F-FuRiKu-minor-root-keyboard-2.png">	<img src="F-FuRiKu-minor-root-pianoroll-2.png">	minor root	<img src="F-FuRiKu-minor-root-keyboard-coloured-2.png">	<img src="F-FuRiKu-minor-root-pianoroll-coloured-2.png">	first inversion	ReKyFu	<img src="F-ReKyFu-minor-first inversion-keyboard-coloured-2.png">	second inversion	KyFuRi	<img src="F-KyFuRi-minor-second inversion-keyboard-coloured-2.png">
FuLaTi		<img src="F-FuLaTi-augmented-root-keyboard-2.png">	<img src="F-FuLaTi-augmented-root-pianoroll-2.png">	augmented root	<img src="F-FuLaTi-augmented-root-keyboard-coloured-2.png">	<img src="F-FuLaTi-augmented-root-pianoroll-coloured-2.png">	first inversion	LoTeFu	<img src="F-LoTeFu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	TeFuLa	<img src="F-TeFuLa-augmented-second inversion-keyboard-coloured-2.png">
FuRiBya		<img src="F-FuRiBya-diminished-root-keyboard-2.png">	<img src="F-FuRiBya-diminished-root-pianoroll-2.png">	diminished root	<img src="F-FuRiBya-diminished-root-keyboard-coloured-2.png">	<img src="F-FuRiBya-diminished-root-pianoroll-coloured-2.png">	first inversion	ReByoFu	<img src="F-ReByoFu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	ByoFuRi	<img src="F-ByoFuRi-diminished-second inversion-keyboard-coloured-2.png">
LoKyFu		<img src="F-LoKyFu-major-first inversion-keyboard-2.png">	<img src="F-LoKyFu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="F-LoKyFu-major-first inversion-keyboard-coloured-2.png">	<img src="F-LoKyFu-major-first inversion-pianoroll-coloured-2.png">	root	FuLaKu	<img src="F-FuLaKu-major-root-keyboard-coloured-2.png">	second inversion	KyFuLa	<img src="F-KyFuLa-major-second inversion-keyboard-coloured-2.png">
ReKyFu		<img src="F-ReKyFu-minor-first inversion-keyboard-2.png">	<img src="F-ReKyFu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="F-ReKyFu-minor-first inversion-keyboard-coloured-2.png">	<img src="F-ReKyFu-minor-first inversion-pianoroll-coloured-2.png">	root	FuRiKu	<img src="F-FuRiKu-minor-root-keyboard-coloured-2.png">	second inversion	KyFuRi	<img src="F-KyFuRi-minor-second inversion-keyboard-coloured-2.png">
LoTeFu		<img src="F-LoTeFu-augmented-first inversion-keyboard-2.png">	<img src="F-LoTeFu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="F-LoTeFu-augmented-first inversion-keyboard-coloured-2.png">	<img src="F-LoTeFu-augmented-first inversion-pianoroll-coloured-2.png">	root	FuLaTi	<img src="F-FuLaTi-augmented-root-keyboard-coloured-2.png">	second inversion	TeFuLa	<img src="F-TeFuLa-augmented-second inversion-keyboard-coloured-2.png">
ReByoFu		<img src="F-ReByoFu-diminished-first inversion-keyboard-2.png">	<img src="F-ReByoFu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="F-ReByoFu-diminished-first inversion-keyboard-coloured-2.png">	<img src="F-ReByoFu-diminished-first inversion-pianoroll-coloured-2.png">	root	FuRiBya	<img src="F-FuRiBya-diminished-root-keyboard-coloured-2.png">	second inversion	ByoFuRi	<img src="F-ByoFuRi-diminished-second inversion-keyboard-coloured-2.png">
KyFuLa		<img src="F-KyFuLa-major-second inversion-keyboard-2.png">	<img src="F-KyFuLa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="F-KyFuLa-major-second inversion-keyboard-coloured-2.png">	<img src="F-KyFuLa-major-second inversion-pianoroll-coloured-2.png">	root	FuLaKu	<img src="F-FuLaKu-major-root-keyboard-coloured-2.png">	first inversion	LoKyFu	<img src="F-LoKyFu-major-first inversion-keyboard-coloured-2.png">
KyFuRi		<img src="F-KyFuRi-minor-second inversion-keyboard-2.png">	<img src="F-KyFuRi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="F-KyFuRi-minor-second inversion-keyboard-coloured-2.png">	<img src="F-KyFuRi-minor-second inversion-pianoroll-coloured-2.png">	root	FuRiKu	<img src="F-FuRiKu-minor-root-keyboard-coloured-2.png">	first inversion	ReKyFu	<img src="F-ReKyFu-minor-first inversion-keyboard-coloured-2.png">
TeFuLa		<img src="F-TeFuLa-augmented-second inversion-keyboard-2.png">	<img src="F-TeFuLa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="F-TeFuLa-augmented-second inversion-keyboard-coloured-2.png">	<img src="F-TeFuLa-augmented-second inversion-pianoroll-coloured-2.png">	root	FuLaTi	<img src="F-FuLaTi-augmented-root-keyboard-coloured-2.png">	first inversion	LoTeFu	<img src="F-LoTeFu-augmented-first inversion-keyboard-coloured-2.png">
ByoFuRi		<img src="F-ByoFuRi-diminished-second inversion-keyboard-2.png">	<img src="F-ByoFuRi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="F-ByoFuRi-diminished-second inversion-keyboard-coloured-2.png">	<img src="F-ByoFuRi-diminished-second inversion-pianoroll-coloured-2.png">	root	FuRiBya	<img src="F-FuRiBya-diminished-root-keyboard-coloured-2.png">	first inversion	ReByoFu	<img src="F-ReByoFu-diminished-first inversion-keyboard-coloured-2.png">
JuPaTu		<img src="J-JuPaTu-major-root-keyboard-2.png">	<img src="J-JuPaTu-major-root-pianoroll-2.png">	major root	<img src="J-JuPaTu-major-root-keyboard-coloured-2.png">	<img src="J-JuPaTu-major-root-pianoroll-coloured-2.png">	first inversion	PoTyJu	<img src="J-PoTyJu-major-first inversion-keyboard-coloured-2.png">	second inversion	TyJuPa	<img src="J-TyJuPa-major-second inversion-keyboard-coloured-2.png">
JuLiTu		<img src="J-JuLiTu-minor-root-keyboard-2.png">	<img src="J-JuLiTu-minor-root-pianoroll-2.png">	minor root	<img src="J-JuLiTu-minor-root-keyboard-coloured-2.png">	<img src="J-JuLiTu-minor-root-pianoroll-coloured-2.png">	first inversion	LeTyJu	<img src="J-LeTyJu-minor-first inversion-keyboard-coloured-2.png">	second inversion	TyJuLi	<img src="J-TyJuLi-minor-second inversion-keyboard-coloured-2.png">
JuPaDi		<img src="J-JuPaDi-augmented-root-keyboard-2.png">	<img src="J-JuPaDi-augmented-root-pianoroll-2.png">	augmented root	<img src="J-JuPaDi-augmented-root-keyboard-coloured-2.png">	<img src="J-JuPaDi-augmented-root-pianoroll-coloured-2.png">	first inversion	PoDeJu	<img src="J-PoDeJu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	DeJuPa	<img src="J-DeJuPa-augmented-second inversion-keyboard-coloured-2.png">
JuLiKya		<img src="J-JuLiKya-diminished-root-keyboard-2.png">	<img src="J-JuLiKya-diminished-root-pianoroll-2.png">	diminished root	<img src="J-JuLiKya-diminished-root-keyboard-coloured-2.png">	<img src="J-JuLiKya-diminished-root-pianoroll-coloured-2.png">	first inversion	LeKyoJu	<img src="J-LeKyoJu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	KyoJuLi	<img src="J-KyoJuLi-diminished-second inversion-keyboard-coloured-2.png">
PoTyJu	Потыкал Жука	<img src="J-PoTyJu-major-first inversion-keyboard-2.png">	<img src="J-PoTyJu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="J-PoTyJu-major-first inversion-keyboard-coloured-2.png">	<img src="J-PoTyJu-major-first inversion-pianoroll-coloured-2.png">	root	JuPaTu	<img src="J-JuPaTu-major-root-keyboard-coloured-2.png">	second inversion	TyJuPa	<img src="J-TyJuPa-major-second inversion-keyboard-coloured-2.png">
LeTyJu		<img src="J-LeTyJu-minor-first inversion-keyboard-2.png">	<img src="J-LeTyJu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="J-LeTyJu-minor-first inversion-keyboard-coloured-2.png">	<img src="J-LeTyJu-minor-first inversion-pianoroll-coloured-2.png">	root	JuLiTu	<img src="J-JuLiTu-minor-root-keyboard-coloured-2.png">	second inversion	TyJuLi	<img src="J-TyJuLi-minor-second inversion-keyboard-coloured-2.png">
PoDeJu		<img src="J-PoDeJu-augmented-first inversion-keyboard-2.png">	<img src="J-PoDeJu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="J-PoDeJu-augmented-first inversion-keyboard-coloured-2.png">	<img src="J-PoDeJu-augmented-first inversion-pianoroll-coloured-2.png">	root	JuPaDi	<img src="J-JuPaDi-augmented-root-keyboard-coloured-2.png">	second inversion	DeJuPa	<img src="J-DeJuPa-augmented-second inversion-keyboard-coloured-2.png">
LeKyoJu		<img src="J-LeKyoJu-diminished-first inversion-keyboard-2.png">	<img src="J-LeKyoJu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="J-LeKyoJu-diminished-first inversion-keyboard-coloured-2.png">	<img src="J-LeKyoJu-diminished-first inversion-pianoroll-coloured-2.png">	root	JuLiKya	<img src="J-JuLiKya-diminished-root-keyboard-coloured-2.png">	second inversion	KyoJuLi	<img src="J-KyoJuLi-diminished-second inversion-keyboard-coloured-2.png">
TyJuPa		<img src="J-TyJuPa-major-second inversion-keyboard-2.png">	<img src="J-TyJuPa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="J-TyJuPa-major-second inversion-keyboard-coloured-2.png">	<img src="J-TyJuPa-major-second inversion-pianoroll-coloured-2.png">	root	JuPaTu	<img src="J-JuPaTu-major-root-keyboard-coloured-2.png">	first inversion	PoTyJu	<img src="J-PoTyJu-major-first inversion-keyboard-coloured-2.png">
TyJuLi		<img src="J-TyJuLi-minor-second inversion-keyboard-2.png">	<img src="J-TyJuLi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="J-TyJuLi-minor-second inversion-keyboard-coloured-2.png">	<img src="J-TyJuLi-minor-second inversion-pianoroll-coloured-2.png">	root	JuLiTu	<img src="J-JuLiTu-minor-root-keyboard-coloured-2.png">	first inversion	LeTyJu	<img src="J-LeTyJu-minor-first inversion-keyboard-coloured-2.png">
DeJuPa		<img src="J-DeJuPa-augmented-second inversion-keyboard-2.png">	<img src="J-DeJuPa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="J-DeJuPa-augmented-second inversion-keyboard-coloured-2.png">	<img src="J-DeJuPa-augmented-second inversion-pianoroll-coloured-2.png">	root	JuPaDi	<img src="J-JuPaDi-augmented-root-keyboard-coloured-2.png">	first inversion	PoDeJu	<img src="J-PoDeJu-augmented-first inversion-keyboard-coloured-2.png">
KyoJuLi		<img src="J-KyoJuLi-diminished-second inversion-keyboard-2.png">	<img src="J-KyoJuLi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="J-KyoJuLi-diminished-second inversion-keyboard-coloured-2.png">	<img src="J-KyoJuLi-diminished-second inversion-pianoroll-coloured-2.png">	root	JuLiKya	<img src="J-JuLiKya-diminished-root-keyboard-coloured-2.png">	first inversion	LeKyoJu	<img src="J-LeKyoJu-diminished-first inversion-keyboard-coloured-2.png">
GuBaDu		<img src="G-GuBaDu-major-root-keyboard-2.png">	<img src="G-GuBaDu-major-root-pianoroll-2.png">	major root	<img src="G-GuBaDu-major-root-keyboard-coloured-2.png">	<img src="G-GuBaDu-major-root-pianoroll-coloured-2.png">	first inversion	BoDyGu	<img src="G-BoDyGu-major-first inversion-keyboard-coloured-2.png">	second inversion	DyGuBa	<img src="G-DyGuBa-major-second inversion-keyboard-coloured-2.png">
GuPiDu		<img src="G-GuPiDu-minor-root-keyboard-2.png">	<img src="G-GuPiDu-minor-root-pianoroll-2.png">	minor root	<img src="G-GuPiDu-minor-root-keyboard-coloured-2.png">	<img src="G-GuPiDu-minor-root-pianoroll-coloured-2.png">	first inversion	PeDyGu	<img src="G-PeDyGu-minor-first inversion-keyboard-coloured-2.png">	second inversion	DyGuPi	<img src="G-DyGuPi-minor-second inversion-keyboard-coloured-2.png">
GuBaNi		<img src="G-GuBaNi-augmented-root-keyboard-2.png">	<img src="G-GuBaNi-augmented-root-pianoroll-2.png">	augmented root	<img src="G-GuBaNi-augmented-root-keyboard-coloured-2.png">	<img src="G-GuBaNi-augmented-root-pianoroll-coloured-2.png">	first inversion	BoNeGu	<img src="G-BoNeGu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	NeGuBa	<img src="G-NeGuBa-augmented-second inversion-keyboard-coloured-2.png">
GuPiTya		<img src="G-GuPiTya-diminished-root-keyboard-2.png">	<img src="G-GuPiTya-diminished-root-pianoroll-2.png">	diminished root	<img src="G-GuPiTya-diminished-root-keyboard-coloured-2.png">	<img src="G-GuPiTya-diminished-root-pianoroll-coloured-2.png">	first inversion	PeTyoGu	<img src="G-PeTyoGu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	TyoGuPi	<img src="G-TyoGuPi-diminished-second inversion-keyboard-coloured-2.png">
BoDyGu		<img src="G-BoDyGu-major-first inversion-keyboard-2.png">	<img src="G-BoDyGu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="G-BoDyGu-major-first inversion-keyboard-coloured-2.png">	<img src="G-BoDyGu-major-first inversion-pianoroll-coloured-2.png">	root	GuBaDu	<img src="G-GuBaDu-major-root-keyboard-coloured-2.png">	second inversion	DyGuBa	<img src="G-DyGuBa-major-second inversion-keyboard-coloured-2.png">
PeDyGu		<img src="G-PeDyGu-minor-first inversion-keyboard-2.png">	<img src="G-PeDyGu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="G-PeDyGu-minor-first inversion-keyboard-coloured-2.png">	<img src="G-PeDyGu-minor-first inversion-pianoroll-coloured-2.png">	root	GuPiDu	<img src="G-GuPiDu-minor-root-keyboard-coloured-2.png">	second inversion	DyGuPi	<img src="G-DyGuPi-minor-second inversion-keyboard-coloured-2.png">
BoNeGu		<img src="G-BoNeGu-augmented-first inversion-keyboard-2.png">	<img src="G-BoNeGu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="G-BoNeGu-augmented-first inversion-keyboard-coloured-2.png">	<img src="G-BoNeGu-augmented-first inversion-pianoroll-coloured-2.png">	root	GuBaNi	<img src="G-GuBaNi-augmented-root-keyboard-coloured-2.png">	second inversion	NeGuBa	<img src="G-NeGuBa-augmented-second inversion-keyboard-coloured-2.png">
PeTyoGu		<img src="G-PeTyoGu-diminished-first inversion-keyboard-2.png">	<img src="G-PeTyoGu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="G-PeTyoGu-diminished-first inversion-keyboard-coloured-2.png">	<img src="G-PeTyoGu-diminished-first inversion-pianoroll-coloured-2.png">	root	GuPiTya	<img src="G-GuPiTya-diminished-root-keyboard-coloured-2.png">	second inversion	TyoGuPi	<img src="G-TyoGuPi-diminished-second inversion-keyboard-coloured-2.png">
DyGuBa		<img src="G-DyGuBa-major-second inversion-keyboard-2.png">	<img src="G-DyGuBa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="G-DyGuBa-major-second inversion-keyboard-coloured-2.png">	<img src="G-DyGuBa-major-second inversion-pianoroll-coloured-2.png">	root	GuBaDu	<img src="G-GuBaDu-major-root-keyboard-coloured-2.png">	first inversion	BoDyGu	<img src="G-BoDyGu-major-first inversion-keyboard-coloured-2.png">
DyGuPi		<img src="G-DyGuPi-minor-second inversion-keyboard-2.png">	<img src="G-DyGuPi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="G-DyGuPi-minor-second inversion-keyboard-coloured-2.png">	<img src="G-DyGuPi-minor-second inversion-pianoroll-coloured-2.png">	root	GuPiDu	<img src="G-GuPiDu-minor-root-keyboard-coloured-2.png">	first inversion	PeDyGu	<img src="G-PeDyGu-minor-first inversion-keyboard-coloured-2.png">
NeGuBa		<img src="G-NeGuBa-augmented-second inversion-keyboard-2.png">	<img src="G-NeGuBa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="G-NeGuBa-augmented-second inversion-keyboard-coloured-2.png">	<img src="G-NeGuBa-augmented-second inversion-pianoroll-coloured-2.png">	root	GuBaNi	<img src="G-GuBaNi-augmented-root-keyboard-coloured-2.png">	first inversion	BoNeGu	<img src="G-BoNeGu-augmented-first inversion-keyboard-coloured-2.png">
TyoGuPi		<img src="G-TyoGuPi-diminished-second inversion-keyboard-2.png">	<img src="G-TyoGuPi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="G-TyoGuPi-diminished-second inversion-keyboard-coloured-2.png">	<img src="G-TyoGuPi-diminished-second inversion-pianoroll-coloured-2.png">	root	GuPiTya	<img src="G-GuPiTya-diminished-root-keyboard-coloured-2.png">	first inversion	PeTyoGu	<img src="G-PeTyoGu-diminished-first inversion-keyboard-coloured-2.png">
RuKaNu		<img src="R-RuKaNu-major-root-keyboard-2.png">	<img src="R-RuKaNu-major-root-pianoroll-2.png">	major root	<img src="R-RuKaNu-major-root-keyboard-coloured-2.png">	<img src="R-RuKaNu-major-root-pianoroll-coloured-2.png">	first inversion	KoNyRu	<img src="R-KoNyRu-major-first inversion-keyboard-coloured-2.png">	second inversion	NyRuKa	<img src="R-NyRuKa-major-second inversion-keyboard-coloured-2.png">
RuBiNu		<img src="R-RuBiNu-minor-root-keyboard-2.png">	<img src="R-RuBiNu-minor-root-pianoroll-2.png">	minor root	<img src="R-RuBiNu-minor-root-keyboard-coloured-2.png">	<img src="R-RuBiNu-minor-root-pianoroll-coloured-2.png">	first inversion	BeNyRu	<img src="R-BeNyRu-minor-first inversion-keyboard-coloured-2.png">	second inversion	NyRuBi	<img src="R-NyRuBi-minor-second inversion-keyboard-coloured-2.png">
RuKaMi		<img src="R-RuKaMi-augmented-root-keyboard-2.png">	<img src="R-RuKaMi-augmented-root-pianoroll-2.png">	augmented root	<img src="R-RuKaMi-augmented-root-keyboard-coloured-2.png">	<img src="R-RuKaMi-augmented-root-pianoroll-coloured-2.png">	first inversion	KoMeRu	<img src="R-KoMeRu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	MeRuKa	<img src="R-MeRuKa-augmented-second inversion-keyboard-coloured-2.png">
RuBiDya		<img src="R-RuBiDya-diminished-root-keyboard-2.png">	<img src="R-RuBiDya-diminished-root-pianoroll-2.png">	diminished root	<img src="R-RuBiDya-diminished-root-keyboard-coloured-2.png">	<img src="R-RuBiDya-diminished-root-pianoroll-coloured-2.png">	first inversion	BeDyoRu	<img src="R-BeDyoRu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	DyoRuBi	<img src="R-DyoRuBi-diminished-second inversion-keyboard-coloured-2.png">
KoNyRu	Собачью КоныРу	<img src="R-KoNyRu-major-first inversion-keyboard-2.png">	<img src="R-KoNyRu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="R-KoNyRu-major-first inversion-keyboard-coloured-2.png">	<img src="R-KoNyRu-major-first inversion-pianoroll-coloured-2.png">	root	RuKaNu	<img src="R-RuKaNu-major-root-keyboard-coloured-2.png">	second inversion	NyRuKa	<img src="R-NyRuKa-major-second inversion-keyboard-coloured-2.png">
BeNyRu		<img src="R-BeNyRu-minor-first inversion-keyboard-2.png">	<img src="R-BeNyRu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="R-BeNyRu-minor-first inversion-keyboard-coloured-2.png">	<img src="R-BeNyRu-minor-first inversion-pianoroll-coloured-2.png">	root	RuBiNu	<img src="R-RuBiNu-minor-root-keyboard-coloured-2.png">	second inversion	NyRuBi	<img src="R-NyRuBi-minor-second inversion-keyboard-coloured-2.png">
KoMeRu		<img src="R-KoMeRu-augmented-first inversion-keyboard-2.png">	<img src="R-KoMeRu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="R-KoMeRu-augmented-first inversion-keyboard-coloured-2.png">	<img src="R-KoMeRu-augmented-first inversion-pianoroll-coloured-2.png">	root	RuKaMi	<img src="R-RuKaMi-augmented-root-keyboard-coloured-2.png">	second inversion	MeRuKa	<img src="R-MeRuKa-augmented-second inversion-keyboard-coloured-2.png">
BeDyoRu		<img src="R-BeDyoRu-diminished-first inversion-keyboard-2.png">	<img src="R-BeDyoRu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="R-BeDyoRu-diminished-first inversion-keyboard-coloured-2.png">	<img src="R-BeDyoRu-diminished-first inversion-pianoroll-coloured-2.png">	root	RuBiDya	<img src="R-RuBiDya-diminished-root-keyboard-coloured-2.png">	second inversion	DyoRuBi	<img src="R-DyoRuBi-diminished-second inversion-keyboard-coloured-2.png">
NyRuKa		<img src="R-NyRuKa-major-second inversion-keyboard-2.png">	<img src="R-NyRuKa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="R-NyRuKa-major-second inversion-keyboard-coloured-2.png">	<img src="R-NyRuKa-major-second inversion-pianoroll-coloured-2.png">	root	RuKaNu	<img src="R-RuKaNu-major-root-keyboard-coloured-2.png">	first inversion	KoNyRu	<img src="R-KoNyRu-major-first inversion-keyboard-coloured-2.png">
NyRuBi		<img src="R-NyRuBi-minor-second inversion-keyboard-2.png">	<img src="R-NyRuBi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="R-NyRuBi-minor-second inversion-keyboard-coloured-2.png">	<img src="R-NyRuBi-minor-second inversion-pianoroll-coloured-2.png">	root	RuBiNu	<img src="R-RuBiNu-minor-root-keyboard-coloured-2.png">	first inversion	BeNyRu	<img src="R-BeNyRu-minor-first inversion-keyboard-coloured-2.png">
MeRuKa		<img src="R-MeRuKa-augmented-second inversion-keyboard-2.png">	<img src="R-MeRuKa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="R-MeRuKa-augmented-second inversion-keyboard-coloured-2.png">	<img src="R-MeRuKa-augmented-second inversion-pianoroll-coloured-2.png">	root	RuKaMi	<img src="R-RuKaMi-augmented-root-keyboard-coloured-2.png">	first inversion	KoMeRu	<img src="R-KoMeRu-augmented-first inversion-keyboard-coloured-2.png">
DyoRuBi		<img src="R-DyoRuBi-diminished-second inversion-keyboard-2.png">	<img src="R-DyoRuBi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="R-DyoRuBi-diminished-second inversion-keyboard-coloured-2.png">	<img src="R-DyoRuBi-diminished-second inversion-pianoroll-coloured-2.png">	root	RuBiDya	<img src="R-RuBiDya-diminished-root-keyboard-coloured-2.png">	first inversion	BeDyoRu	<img src="R-BeDyoRu-diminished-first inversion-keyboard-coloured-2.png">
LuTaMu		<img src="L-LuTaMu-major-root-keyboard-2.png">	<img src="L-LuTaMu-major-root-pianoroll-2.png">	major root	<img src="L-LuTaMu-major-root-keyboard-coloured-2.png">	<img src="L-LuTaMu-major-root-pianoroll-coloured-2.png">	first inversion	ToMyLu	<img src="L-ToMyLu-major-first inversion-keyboard-coloured-2.png">	second inversion	MyLuTa	<img src="L-MyLuTa-major-second inversion-keyboard-coloured-2.png">
LuKiMu		<img src="L-LuKiMu-minor-root-keyboard-2.png">	<img src="L-LuKiMu-minor-root-pianoroll-2.png">	minor root	<img src="L-LuKiMu-minor-root-keyboard-coloured-2.png">	<img src="L-LuKiMu-minor-root-pianoroll-coloured-2.png">	first inversion	KeMyLu	<img src="L-KeMyLu-minor-first inversion-keyboard-coloured-2.png">	second inversion	MyLuKi	<img src="L-MyLuKi-minor-second inversion-keyboard-coloured-2.png">
LuTaFi		<img src="L-LuTaFi-augmented-root-keyboard-2.png">	<img src="L-LuTaFi-augmented-root-pianoroll-2.png">	augmented root	<img src="L-LuTaFi-augmented-root-keyboard-coloured-2.png">	<img src="L-LuTaFi-augmented-root-pianoroll-coloured-2.png">	first inversion	ToFeLu	<img src="L-ToFeLu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	FeLuTa	<img src="L-FeLuTa-augmented-second inversion-keyboard-coloured-2.png">
