Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
TuMiRu		<img src="T-TuMiRu-minor-root-keyboard-2.png">	<img src="T-TuMiRu-minor-root-pianoroll-2.png">	minor root	<img src="T-TuMiRu-minor-root-keyboard-coloured-2.png">	<img src="T-TuMiRu-minor-root-pianoroll-coloured-2.png">	first inversion	MeRyTu	<img src="T-MeRyTu-minor-first inversion-keyboard-coloured-2.png">	second inversion	RyTuMi	<img src="T-RyTuMi-minor-second inversion-keyboard-coloured-2.png">
TuFaLi		<img src="T-TuFaLi-augmented-root-keyboard-2.png">	<img src="T-TuFaLi-augmented-root-pianoroll-2.png">	augmented root	<img src="T-TuFaLi-augmented-root-keyboard-coloured-2.png">	<img src="T-TuFaLi-augmented-root-pianoroll-coloured-2.png">	first inversion	FoLeTu	<img src="T-FoLeTu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	LeTuFa	<img src="T-LeTuFa-augmented-second inversion-keyboard-coloured-2.png">
TuMiGya		<img src="T-TuMiGya-diminished-root-keyboard-2.png">	<img src="T-TuMiGya-diminished-root-pianoroll-2.png">	diminished root	<img src="T-TuMiGya-diminished-root-keyboard-coloured-2.png">	<img src="T-TuMiGya-diminished-root-pianoroll-coloured-2.png">	first inversion	MeGyoTu	<img src="T-MeGyoTu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	GyoTuMi	<img src="T-GyoTuMi-diminished-second inversion-keyboard-coloured-2.png">
FoRyTu		<img src="T-FoRyTu-major-first inversion-keyboard-2.png">	<img src="T-FoRyTu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="T-FoRyTu-major-first inversion-keyboard-coloured-2.png">	<img src="T-FoRyTu-major-first inversion-pianoroll-coloured-2.png">	root	TuFaRu	<img src="T-TuFaRu-major-root-keyboard-coloured-2.png">	second inversion	RyTuFa	<img src="T-RyTuFa-major-second inversion-keyboard-coloured-2.png">
MeRyTu		<img src="T-MeRyTu-minor-first inversion-keyboard-2.png">	<img src="T-MeRyTu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="T-MeRyTu-minor-first inversion-keyboard-coloured-2.png">	<img src="T-MeRyTu-minor-first inversion-pianoroll-coloured-2.png">	root	TuMiRu	<img src="T-TuMiRu-minor-root-keyboard-coloured-2.png">	second inversion	RyTuMi	<img src="T-RyTuMi-minor-second inversion-keyboard-coloured-2.png">
FoLeTu		<img src="T-FoLeTu-augmented-first inversion-keyboard-2.png">	<img src="T-FoLeTu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="T-FoLeTu-augmented-first inversion-keyboard-coloured-2.png">	<img src="T-FoLeTu-augmented-first inversion-pianoroll-coloured-2.png">	root	TuFaLi	<img src="T-TuFaLi-augmented-root-keyboard-coloured-2.png">	second inversion	LeTuFa	<img src="T-LeTuFa-augmented-second inversion-keyboard-coloured-2.png">
MeGyoTu		<img src="T-MeGyoTu-diminished-first inversion-keyboard-2.png">	<img src="T-MeGyoTu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="T-MeGyoTu-diminished-first inversion-keyboard-coloured-2.png">	<img src="T-MeGyoTu-diminished-first inversion-pianoroll-coloured-2.png">	root	TuMiGya	<img src="T-TuMiGya-diminished-root-keyboard-coloured-2.png">	second inversion	GyoTuMi	<img src="T-GyoTuMi-diminished-second inversion-keyboard-coloured-2.png">
RyTuFa		<img src="T-RyTuFa-major-second inversion-keyboard-2.png">	<img src="T-RyTuFa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="T-RyTuFa-major-second inversion-keyboard-coloured-2.png">	<img src="T-RyTuFa-major-second inversion-pianoroll-coloured-2.png">	root	TuFaRu	<img src="T-TuFaRu-major-root-keyboard-coloured-2.png">	first inversion	FoRyTu	<img src="T-FoRyTu-major-first inversion-keyboard-coloured-2.png">
RyTuMi		<img src="T-RyTuMi-minor-second inversion-keyboard-2.png">	<img src="T-RyTuMi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="T-RyTuMi-minor-second inversion-keyboard-coloured-2.png">	<img src="T-RyTuMi-minor-second inversion-pianoroll-coloured-2.png">	root	TuMiRu	<img src="T-TuMiRu-minor-root-keyboard-coloured-2.png">	first inversion	MeRyTu	<img src="T-MeRyTu-minor-first inversion-keyboard-coloured-2.png">
LeTuFa		<img src="T-LeTuFa-augmented-second inversion-keyboard-2.png">	<img src="T-LeTuFa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="T-LeTuFa-augmented-second inversion-keyboard-coloured-2.png">	<img src="T-LeTuFa-augmented-second inversion-pianoroll-coloured-2.png">	root	TuFaLi	<img src="T-TuFaLi-augmented-root-keyboard-coloured-2.png">	first inversion	FoLeTu	<img src="T-FoLeTu-augmented-first inversion-keyboard-coloured-2.png">
GyoTuMi		<img src="T-GyoTuMi-diminished-second inversion-keyboard-2.png">	<img src="T-GyoTuMi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="T-GyoTuMi-diminished-second inversion-keyboard-coloured-2.png">	<img src="T-GyoTuMi-diminished-second inversion-pianoroll-coloured-2.png">	root	TuMiGya	<img src="T-TuMiGya-diminished-root-keyboard-coloured-2.png">	first inversion	MeGyoTu	<img src="T-MeGyoTu-diminished-first inversion-keyboard-coloured-2.png">
DuJaLu		<img src="D-DuJaLu-major-root-keyboard-2.png">	<img src="D-DuJaLu-major-root-pianoroll-2.png">	major root	<img src="D-DuJaLu-major-root-keyboard-coloured-2.png">	<img src="D-DuJaLu-major-root-pianoroll-coloured-2.png">	first inversion	JoLyDu	<img src="D-JoLyDu-major-first inversion-keyboard-coloured-2.png">	second inversion	LyDuJa	<img src="D-LyDuJa-major-second inversion-keyboard-coloured-2.png">
DuFiLu		<img src="D-DuFiLu-minor-root-keyboard-2.png">	<img src="D-DuFiLu-minor-root-pianoroll-2.png">	minor root	<img src="D-DuFiLu-minor-root-keyboard-coloured-2.png">	<img src="D-DuFiLu-minor-root-pianoroll-coloured-2.png">	first inversion	FeLyDu	<img src="D-FeLyDu-minor-first inversion-keyboard-coloured-2.png">	second inversion	LyDuFi	<img src="D-LyDuFi-minor-second inversion-keyboard-coloured-2.png">
DuJaPi		<img src="D-DuJaPi-augmented-root-keyboard-2.png">	<img src="D-DuJaPi-augmented-root-pianoroll-2.png">	augmented root	<img src="D-DuJaPi-augmented-root-keyboard-coloured-2.png">	<img src="D-DuJaPi-augmented-root-pianoroll-coloured-2.png">	first inversion	JoPeDu	<img src="D-JoPeDu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	PeDuJa	<img src="D-PeDuJa-augmented-second inversion-keyboard-coloured-2.png">
DuFiRya		<img src="D-DuFiRya-diminished-root-keyboard-2.png">	<img src="D-DuFiRya-diminished-root-pianoroll-2.png">	diminished root	<img src="D-DuFiRya-diminished-root-keyboard-coloured-2.png">	<img src="D-DuFiRya-diminished-root-pianoroll-coloured-2.png">	first inversion	FeRyoDu	<img src="D-FeRyoDu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	RyoDuFi	<img src="D-RyoDuFi-diminished-second inversion-keyboard-coloured-2.png">
JoLyDu		<img src="D-JoLyDu-major-first inversion-keyboard-2.png">	<img src="D-JoLyDu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="D-JoLyDu-major-first inversion-keyboard-coloured-2.png">	<img src="D-JoLyDu-major-first inversion-pianoroll-coloured-2.png">	root	DuJaLu	<img src="D-DuJaLu-major-root-keyboard-coloured-2.png">	second inversion	LyDuJa	<img src="D-LyDuJa-major-second inversion-keyboard-coloured-2.png">
